raceId,driverId,constructorId,qualifying_position,starting_grid,race_finish_position,year,race_name,driver_name,nationality,constructor_name,position_change
26,16,10,19,18,18,2008,British Grand Prix,Adrian Sutil,German,Force India,1
26,21,10,20,19,17,2008,British Grand Prix,Giancarlo Fisichella,Italian,Force India,3
27,1,1,1,1,1,2008,German Grand Prix,Lewis Hamilton,British,McLaren,0
27,13,6,2,2,3,2008,German Grand Prix,Felipe Massa,Brazilian,Ferrari,-1
27,5,1,3,3,5,2008,German Grand Prix,Heikki Kovalainen,Finnish,McLaren,-2
27,15,7,4,4,9,2008,German Grand Prix,Jarno Trulli,Italian,Toyota,-5
27,4,4,5,5,11,2008,German Grand Prix,Fernando Alonso,Spanish,Renault,-6
27,8,6,6,6,6,2008,German Grand Prix,Kimi Räikkönen,Finnish,Ferrari,0
27,9,2,7,7,7,2008,German Grand Prix,Robert Kubica,Polish,BMW Sauber,0
27,17,9,8,8,19,2008,German Grand Prix,Mark Webber,Australian,Red Bull,-11
27,20,5,9,9,8,2008,German Grand Prix,Sebastian Vettel,German,Toro Rosso,1
27,14,9,10,10,13,2008,German Grand Prix,David Coulthard,British,Red Bull,-3
27,10,7,11,11,20,2008,German Grand Prix,Timo Glock,German,Toyota,-9
27,2,2,12,12,4,2008,German Grand Prix,Nick Heidfeld,German,BMW Sauber,8
27,3,3,13,13,10,2008,German Grand Prix,Nico Rosberg,German,Williams,3
27,18,11,14,14,17,2008,German Grand Prix,Jenson Button,British,Honda,-3
27,7,5,15,15,12,2008,German Grand Prix,Sébastien Bourdais,French,Toro Rosso,3
27,6,3,16,16,14,2008,German Grand Prix,Kazuki Nakajima,Japanese,Williams,2
27,12,4,17,17,2,2008,German Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,15
27,22,11,18,18,18,2008,German Grand Prix,Rubens Barrichello,Brazilian,Honda,0
27,16,10,19,19,15,2008,German Grand Prix,Adrian Sutil,German,Force India,4
27,21,10,20,20,16,2008,German Grand Prix,Giancarlo Fisichella,Italian,Force India,4
28,1,1,1,1,5,2008,Hungarian Grand Prix,Lewis Hamilton,British,McLaren,-4
28,5,1,2,2,1,2008,Hungarian Grand Prix,Heikki Kovalainen,Finnish,McLaren,1
28,13,6,3,3,17,2008,Hungarian Grand Prix,Felipe Massa,Brazilian,Ferrari,-14
28,9,2,4,4,8,2008,Hungarian Grand Prix,Robert Kubica,Polish,BMW Sauber,-4
28,10,7,5,5,2,2008,Hungarian Grand Prix,Timo Glock,German,Toyota,3
28,8,6,6,6,3,2008,Hungarian Grand Prix,Kimi Räikkönen,Finnish,Ferrari,3
28,4,4,7,7,4,2008,Hungarian Grand Prix,Fernando Alonso,Spanish,Renault,3
28,17,9,8,8,9,2008,Hungarian Grand Prix,Mark Webber,Australian,Red Bull,-1
28,15,7,9,9,7,2008,Hungarian Grand Prix,Jarno Trulli,Italian,Toyota,2
28,12,4,10,10,6,2008,Hungarian Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,4
28,20,5,11,11,20,2008,Hungarian Grand Prix,Sebastian Vettel,German,Toro Rosso,-9
28,18,11,12,12,12,2008,Hungarian Grand Prix,Jenson Button,British,Honda,0
28,14,9,13,13,11,2008,Hungarian Grand Prix,David Coulthard,British,Red Bull,2
28,7,5,14,19,18,2008,Hungarian Grand Prix,Sébastien Bourdais,French,Toro Rosso,-4
28,3,3,15,14,14,2008,Hungarian Grand Prix,Nico Rosberg,German,Williams,1
28,2,2,16,15,10,2008,Hungarian Grand Prix,Nick Heidfeld,German,BMW Sauber,6
28,6,3,17,16,13,2008,Hungarian Grand Prix,Kazuki Nakajima,Japanese,Williams,4
28,22,11,18,17,16,2008,Hungarian Grand Prix,Rubens Barrichello,Brazilian,Honda,2
28,21,10,19,18,15,2008,Hungarian Grand Prix,Giancarlo Fisichella,Italian,Force India,4
28,16,10,20,20,19,2008,Hungarian Grand Prix,Adrian Sutil,German,Force India,1
29,13,6,1,1,1,2008,European Grand Prix,Felipe Massa,Brazilian,Ferrari,0
29,1,1,2,2,2,2008,European Grand Prix,Lewis Hamilton,British,McLaren,0
29,9,2,3,3,3,2008,European Grand Prix,Robert Kubica,Polish,BMW Sauber,0
29,8,6,4,4,18,2008,European Grand Prix,Kimi Räikkönen,Finnish,Ferrari,-14
29,5,1,5,5,4,2008,European Grand Prix,Heikki Kovalainen,Finnish,McLaren,1
29,20,5,6,6,6,2008,European Grand Prix,Sebastian Vettel,German,Toro Rosso,0
29,15,7,7,7,5,2008,European Grand Prix,Jarno Trulli,Italian,Toyota,2
29,2,2,8,8,9,2008,European Grand Prix,Nick Heidfeld,German,BMW Sauber,-1
29,3,3,9,9,8,2008,European Grand Prix,Nico Rosberg,German,Williams,1
